DCF,descdepto,descclase,descfamilia
38105,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,BASE COLCHON SIN CABECERA     
38107,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,LITERAS                       
38111,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,COCINAS INTEGRALES            
38113,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,ALACENAS                      
38114,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,COMEDOR Y ANTECOMEDOR         
38116,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,SILLAS SUELTAS                
40502,"SALAS, RECAMARAS, COMEDORES   ",COMPLEMENTOS PARA SALA        ,PUFF                          
41007,"SALAS, RECAMARAS, COMEDORES   ",SOFAS CAMA                    ,ESTUDIO                       
41505,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,PIEZAS SALAS LOVE SEAT CLASICO
41506,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,PIEZAS SALAS SOFA CLASICO     
41513,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,SILLON INDIVIDUAL SOBRE PEDIDO
41514,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,LOVESEAT SOBRE PEDIDO         
41515,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,SOFA SOBRE PEDIDO             
41516,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,SALA SOBRE PEDIDO             
44002,"SALAS, RECAMARAS, COMEDORES   ",MESAS SALAS                   ,JUEGO DE MESAS MADERA CONTEMP 
44003,"SALAS, RECAMARAS, COMEDORES   ",MESAS SALAS                   ,JUEGO DE MESAS MADERA RUSTICA 
44004,"SALAS, RECAMARAS, COMEDORES   ",MESAS SALAS                   ,JG DE MESA MADE/CRISTAL CLASIC
44009,"SALAS, RECAMARAS, COMEDORES   ",MESAS SALAS                   ,JGO MESAS MET/CRISTAL CLASICA 
45036,"SALAS, RECAMARAS, COMEDORES   ",ILUMINACION                   ,RIELES CONTEMPORANEOS         
45265,"SALAS, RECAMARAS, COMEDORES   ",CUADROS Y ESPEJOS             ,CUADRO                        
45452,"SALAS, RECAMARAS, COMEDORES   ",ACCESORIOS DE MESA            ,ESPIGA                        
45470,"SALAS, RECAMARAS, COMEDORES   ",ACCESORIOS DE MESA            ,VINIL DECORATIVO              
46003,"SALAS, RECAMARAS, COMEDORES   ",RECAMARAS                     ,RECAMARA CONTEMPORANEA        
46020,"SALAS, RECAMARAS, COMEDORES   ",RECAMARAS                     ,BURO DESPIEZADO               
46025,"SALAS, RECAMARAS, COMEDORES   ",RECAMARAS                     ,TOCADOR DESPIEZADO            
46306,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,CENTRO DE ENTRET CLASICO      
46308,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,CTRO DE ENT COMPACTO RUSTICO  
46309,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,CTRO DE ENT COMPACTO CONTEMP  
46310,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,CTRO DE ENTRET COMPAC CLASICO 
46312,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,MESA PARA TV PLASMA CLASICA   
46313,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,PLASMA CRISTAL CONTEMPORANEA  
48801,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",SALAS                         
48802,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",ACCESORIOS PARA SALA TABURET  
48803,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",RECAMARAS                     
48804,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",ACCESORIOS RECAMARAS          
48805,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",SILLON RECLINABLE             
48806,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",SILLON SUELTO                 
48807,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",SOFA CAMA                     
48808,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",MESA PARA SALAS               
48809,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",MESA PARA TV                  
48810,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",TOCADOR                       
48811,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR","ACCESORIOS INFANTIL PUFF, BAUL"
48812,"SALAS, RECAMARAS, COMEDORES   ","ARTICULOS VIANA SALAS, RECAMAR",MAQUINA DE COSER              
48901,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,COJINES                       
48902,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,TAPETES                       
48903,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ACCESORIOS DE MESA            
48904,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ACCESORIOS DE PARED           
48905,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ACCESORIOS DE BAÑO            
48906,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ALMOHADAS                     
48907,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ROPA CAMA EXTERIOR            
48908,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ROPA CAMA INTERIOR            
48909,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,LAMPARAS                      
48910,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,ACCESORIOS DE TEMPORADA       
48911,"SALAS, RECAMARAS, COMEDORES   ",ARTICULOS VIANA DECORACION    ,OTROS DECORACION              
53006,BICICLETAS/BEBES/AUTOMOTRIZ   ,ACCESORIOS AUT ELECTRICOS     ,COMPRESOR - TANQUE            
59701,BICICLETAS/BEBES/AUTOMOTRIZ   ,ARTICULOS VIANA               ,BICICLETAS VIANA              
59702,BICICLETAS/BEBES/AUTOMOTRIZ   ,ARTICULOS VIANA               ,BEBES                         
59703,BICICLETAS/BEBES/AUTOMOTRIZ   ,ARTICULOS VIANA               ,APARATO EJERCICIO             
59704,BICICLETAS/BEBES/AUTOMOTRIZ   ,ARTICULOS VIANA               ,OTROS CAJA FUERTE             
69701,LINEA BLANCA                  ,ARTICULOS VIANA               ,ESTUFAS Y PARRILLAS           
69702,LINEA BLANCA                  ,ARTICULOS VIANA               ,"REFRIGERADORES, CONGE, FRIGOBA"
69703,LINEA BLANCA                  ,ARTICULOS VIANA               ,LAVADORAS Y SECADORAS         
69704,LINEA BLANCA                  ,ARTICULOS VIANA               ,HORNO MICROONDAS Y DE GAS     
69705,LINEA BLANCA                  ,ARTICULOS VIANA               ,CAMPANA PARA ESTUFA           
69706,LINEA BLANCA                  ,ARTICULOS VIANA               ,"CLIMA AIRES, VENT, CALEFACTOR "
69707,LINEA BLANCA                  ,ARTICULOS VIANA               ,OTROS LINEA BLANCA            
23401,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R1                      
23402,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R2                      
23403,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R3                      
23404,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R4                      
23405,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R5                      
23406,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R6                      
23407,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R7                      
23408,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R8                      
23409,ELECTRONICA                   ,TARJETAS DE DATOS             ,DATOS R9                      
23410,ELECTRONICA                   ,TARJETAS DE DATOS             ,MOVISTAR                      
23411,ELECTRONICA                   ,TARJETAS DE DATOS             ,UNEFON                        
23610,ELECTRONICA                   ,MODULOS DE SERVICIOS          ,PAQUETE DE DATOS MOVISTAR     
23701,ELECTRONICA                   ,SIM POSTPAGO                  ,TELCEL                        
23702,ELECTRONICA                   ,SIM POSTPAGO                  ,MOVISTAR                      
23703,ELECTRONICA                   ,SIM POSTPAGO                  ,UNEFON                        
25805,ELECTRONICA                   ,C-DIGITAL                     ,APPLE TV                      
28101,ELECTRONICA                   ,GARANTIA EXTENDIDA            ,APPLE CARE                    
29102,ELECTRONICA                   ,ARTICULOS VIANA ELECT MAYOR   ,"VIDEO DVD, BLURAY, HOMETHEATER"
29103,ELECTRONICA                   ,ARTICULOS VIANA ELECT MAYOR   ,TELEVISIONES                  
29104,ELECTRONICA                   ,ARTICULOS VIANA ELECT MAYOR   ,TELEFONOS CASA                
29201,ELECTRONICA                   ,ARTICULOS VIANA ELECT MENOR   ,COMPUTADORAS Y TABLETS        
29203,ELECTRONICA                   ,ARTICULOS VIANA ELECT MENOR   ,CAMARAS FOTOGRAFICA Y VIDEOCAM
29204,ELECTRONICA                   ,ARTICULOS VIANA ELECT MENOR   ,CONSOLAS VIDEO JUEGOS         
29208,ELECTRONICA                   ,ARTICULOS VIANA ELECT MENOR   ,DISCOS MUSICALES              
29521,ELECTRONICA                   ,PROTECCION                    ,STICKER                       
29941,ELECTRONICA                   ,PROMOCIONES                   ,JABAS DE CELULARES            
30416,MUEBLE SUELTO                 ,CAMAS                         ,MADERA KS                     
30608,MUEBLE SUELTO                 ,CABECERAS                     ,KING SIZE                     
30808,MUEBLE SUELTO                 ,LITERAS                       ,MADERA IND - MAT              
31424,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,MODELOS ESPECIALES            
31614,MUEBLE SUELTO                 ,COMEDORES                     ,METAL CRISTAL 7PZ CLASICO     
31615,MUEBLE SUELTO                 ,COMEDORES                     ,TAPIZADO                      
31806,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,GRANDE CLASICO                
31812,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,TRINCHADOR CHICO CONTEMPO     
31818,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA DE CRISTAL CONTEMPORANEO 
31820,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA DE CRISTAL CLASICO       
31822,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA DE MADERA CONTEMPORANEO  
31824,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA DE MADERA CLASICO        
31826,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA LAMINADO CONTEMPORANEO   
31828,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,MESA LAMINADO CLASICO         
31830,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31832,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31834,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31836,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31838,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31840,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
31842,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,VITRINA                       
32044,MUEBLE SUELTO                 ,COMEDORES                 BAJA,9 PZ CLASICO         BAJA     
32046,MUEBLE SUELTO                 ,COMEDORES                 BAJA,9 PZ CONTEMPORANEO        BAJA
32048,MUEBLE SUELTO                 ,COMEDORES                 BAJA,BUFFETE SUELTO P/ 9 PZS   BAJA
32402,MUEBLE SUELTO                 ,BANCOS                        ,METAL 24 CLASICO              
32404,MUEBLE SUELTO                 ,BANCOS                        ,"METAL 24"" CONTEMPORANEO       "
32406,MUEBLE SUELTO                 ,BANCOS                        ,MADERA 24 CLASICO             
32408,MUEBLE SUELTO                 ,BANCOS                        ,"MADERA 24"" CONTEMPORANEO      "
32608,MUEBLE SUELTO                 ,MECEDORAS                     ,MADERA CONTEMPORANEO          
32702,MUEBLE SUELTO                 ,COMPLEM SALA                  ,PUFF                          
32704,MUEBLE SUELTO                 ,COMPLEM SALA                  ,TABURETE                      
32708,MUEBLE SUELTO                 ,COMPLEM SALA                  ,RECLINABLE                    
32806,MUEBLE SUELTO                 ,JUEGO DE JARDIN               ,MADERA CLASICO                
32808,MUEBLE SUELTO                 ,JUEGO DE JARDIN               ,MADERA CONTEMPORANEO          
33402,MUEBLE SUELTO                 ,ROPEROS                       ,LAMINADO  0.90 M CLASICO      
33413,MUEBLE SUELTO                 ,ROPEROS                       ,LAMINADO 1.80 CONTEMPORANEO   
33414,MUEBLE SUELTO                 ,ROPEROS                       ,MADERA  1.00 M CLASICO        
33416,MUEBLE SUELTO                 ,ROPEROS                       ,MADERA 1.00 M CONTEMPORANEO   
33418,MUEBLE SUELTO                 ,ROPEROS                       ,MADERA 1.00 M RUSTICO         
33428,MUEBLE SUELTO                 ,ROPEROS                       ,MADERA 1.60 M CONTEMPORANEO   
33430,MUEBLE SUELTO                 ,ROPEROS                       ,MADERA 1.60 M RUSTICO         
33602,MUEBLE SUELTO                 ,COMODAS                       ,LAMINADA 0.60 M CLASICO       
33604,MUEBLE SUELTO                 ,COMODAS                       ,LAMINADA 0.60 M CONTEMPORANEO 
33618,MUEBLE SUELTO                 ,COMODAS                       ,MADERA 0.80 M RUSTICO         
33620,MUEBLE SUELTO                 ,COMODAS                       ,MADERA 1.20 M CLASICO         
33626,MUEBLE SUELTO                 ,COMODAS                       ,MADERA    1.40 M CLASICO      
33628,MUEBLE SUELTO                 ,COMODAS                       ,MADERA    1.40 M CONTEMPORANEO
33630,MUEBLE SUELTO                 ,COMODAS                       ,MADERA    1.40 M RUSTICO      
34206,MUEBLE SUELTO                 ,COCINAS                       ,2.40 RUSTICO                  
34208,MUEBLE SUELTO                 ,COCINAS                       ,2.80  CLASICO                 
34218,MUEBLE SUELTO                 ,COCINAS                       ,ESQUINERA                     
34604,MUEBLE SUELTO                 ,MODULOS DE COCINAS            ,ALACENA SUP CONTEMPORANEO     
34610,MUEBLE SUELTO                 ,MODULOS DE COCINAS            ,ESQUINERO                     
34612,MUEBLE SUELTO                 ,MODULOS DE COCINAS            ,BARRA PARA COCINA             
34806,MUEBLE SUELTO                 ,ALACENA SUELTA P/ COCINA      ,ALACENA METAL                 
34814,MUEBLE SUELTO                 ,ALACENA SUELTA P/ COCINA      ,ALACENA MULTIFUNCIONAL LAMINAD
35010,MUEBLE SUELTO                 ,MESA MULTIFUNCIONAL           ,LAMINADO CONTEMPORANEO        
35012,MUEBLE SUELTO                 ,MESA MULTIFUNCIONAL           ,METAL CLASICO                 
35014,MUEBLE SUELTO                 ,MESA MULTIFUNCIONAL           ,METAL CONTEMPORANEO           
35016,MUEBLE SUELTO                 ,MESA MULTIFUNCIONAL           ,GABINETE DE METAL             
35202,MUEBLE SUELTO                 ,PORTAGARRAFON                 ,DE MESA                       
35206,MUEBLE SUELTO                 ,PORTAGARRAFON                 ,MESA DE MADERA CONTEMPORANEO  
35208,MUEBLE SUELTO                 ,PORTAGARRAFON                 ,MESA DE MADERA RUSTICO        
38106,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,BASE PARA COLCHON CON CABECERA
38108,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,COMODAS                       
38109,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,ROPEROS                       
38110,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,BUFETERA                      
38112,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,MODULOS PARA COCINAS INTEGRALE
38115,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,BANCOS                        
38117,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,MUEBLE INFANTIL               
38118,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,MUEBLES PARA OFICINA          
38119,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,JARDIN SILLAS PLEGABLES       
38120,MUEBLE SUELTO                 ,ARTICULOS VIANA MUEBLES SUELTO,OTROS MUEBLES SUELTOS         
40120,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,321 CHENILLE CLASICO          
40121,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,321 CHENILLE CONTEMPORANEO    
40125,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,321 SUEDE                     
40130,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,321 JACKARD                   
40136,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,MOLDURAS                      
40140,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,ESQUINERA CLASICA             
40142,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,ESQUINERA CONTEMPORANEA       
40150,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,TIPO L SECCIONAL              
41504,"SALAS, RECAMARAS, COMEDORES   ",SALA DESPIEZADA               ,PIEZA SALAS SILLON IND CLASICO
59920,BICICLETAS/BEBES/AUTOMOTRIZ   ,OFERTAS                       ,COMPRAS ESP MOTOS             
59930,BICICLETAS/BEBES/AUTOMOTRIZ   ,OFERTAS                       ,EXHIBIDORES MOTOS             
99608,OPTICA                        ,LENTES PREGRADUADOS           ,CONSUMIBLES                   
22486,ELECTRONICA                   ,TELEFONOS CELULARES           ,DIGO                          
22494,ELECTRONICA                   ,TELEFONOS CELULARES           ,VIANA TELCEL R9               
22495,ELECTRONICA                   ,TELEFONOS CELULARES           ,VIANA TELCEL R6               
22497,ELECTRONICA                   ,TELEFONOS CELULARES           ,VIANA UNEFON                  
22498,ELECTRONICA                   ,TELEFONOS CELULARES           ,VIANA IUSACELL                
22932,ELECTRONICA                   ,CHIPS CELULARES               ,MICRO CHIP TELCEL             
22934,ELECTRONICA                   ,CHIPS CELULARES               ,SIM UNIVERSAL DIGO            
22936,ELECTRONICA                   ,CHIPS CELULARES               ,CHIP TELCEL FIJO TIP          
22940,ELECTRONICA                   ,CHIPS CELULARES               ,CHIPS VIRGIN                  
24807,ELECTRONICA                   ,TELEFONOS LIBRES              ,TELEFONIA LIBRE REDI          
24898,ELECTRONICA                   ,TELEFONOS LIBRES              ,VIANA CELULARES LIBRES        
39999,MUEBLE SUELTO                 ,OFERTAS                       ,REGALOS                       
49999,"SALAS, RECAMARAS, COMEDORES   ",PROMOCIONES                   ,NO VENDER                     
69999,LINEA BLANCA                  ,PROMOCIONES                   ,ARTICULOS DE REGALOS          
59910,BICICLETAS/BEBES/AUTOMOTRIZ   ,OFERTAS                       ,REGALOS MOTOS                 
31629,MUEBLE SUELTO                 ,COMEDORES                     ,COMEDORES GAMA ALTA           
34207,MUEBLE SUELTO                 ,COCINAS                       ,2.10 CONTEMPORANEO            
45040,"SALAS, RECAMARAS, COMEDORES   ",ILUMINACION                   ,LAMPARA DE PATIO              
57501,BICICLETAS/BEBES/AUTOMOTRIZ   ,REFACCIONES                   ,REFACCIONES BAJAJ             
24804,ELECTRONICA                   ,TELEFONOS LIBRES              ,CELULARES VIRGIN              
24808,ELECTRONICA                   ,TELEFONOS LIBRES              ,CELULARES APPLE               
24809,ELECTRONICA                   ,TELEFONOS LIBRES              ,CELULARES OPPO                
24810,ELECTRONICA                   ,TELEFONOS LIBRES              ,MOVISTAR LIBRE                
80402,JOYERIA                       ,ACCESORIOS                    ,FRANELAS                      
80404,JOYERIA                       ,ACCESORIOS                    ,ESTUCHES DE REGALO            
80928,JOYERIA                       ,SETS ORO                      ,JUEGOS 10K REGALOS ELLA       
80929,JOYERIA                       ,SETS ORO                      ,JUEGOS 14K REGALOS ELLA       
83101,JOYERIA                       ,BISUTERA FINA                 ,ANILLO BISUTERIA FINA         
83102,JOYERIA                       ,BISUTERA FINA                 ,ARETES BISUTERIA FINA         
83104,JOYERIA                       ,BISUTERA FINA                 ,CADENAS BISUTERIA FINA        
83105,JOYERIA                       ,BISUTERA FINA                 ,PULSERA BISUTERIA FINA        
83106,JOYERIA                       ,BISUTERA FINA                 ,SET BISUTERIA FINA            
84704,JOYERIA                       ,JUEGOS PLATA                  ,ARETES CON DIJE PLATA         
86001,JOYERIA                       ,JOYERIA FINA                  ,ARETES                        
86002,JOYERIA                       ,JOYERIA FINA                  ,COQUETA                       
86003,JOYERIA                       ,JOYERIA FINA                  ,PULSERA                       
86803,JOYERIA                       ,TEJIDOS                       ,CADENAS TEJIDOS               
86804,JOYERIA                       ,TEJIDOS                       ,PULSERAS TEJIDOS              
22824,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,PAQUETES DE DATOS             
27903,ELECTRONICA                   ,TABLETS                       ,TABLETS 10 PULGADAS           
46004,"SALAS, RECAMARAS, COMEDORES   ",RECAMARAS                     ,TOCADOR DESPIEZADO            
30812,MUEBLE SUELTO                 ,LITERAS                       ,MADERA MULTIFUNCIONAL         
30814,MUEBLE SUELTO                 ,LITERAS                       ,METAL MAT-MAT                 
33806,MUEBLE SUELTO                 ,ALMACENAMIENTO                ,ESQUINERO                     
50323,BICICLETAS/BEBES/AUTOMOTRIZ   ,JUGUETES                      ,BLOQUES DE CONSTRUCCION       
53520,BICICLETAS/BEBES/AUTOMOTRIZ   ,FOCOS                         ,FOCO LED                      
17805,DOMESTICOS                    ,ASPIRADORAS                   ,EXCLUSIVOS COPPEL.COM         
18002,DOMESTICOS                    ,HIDROLAVADORAS                ,EXCLUSIVOS COPPEL.COM         
20421,ELECTRONICA                   ,AUDIO                         ,AUDIO TRADICIONAL             
20820,ELECTRONICA                   ,REGULADORES Y SUPRESORES      ,EXCLUSIVOS COPPEL.COM         
21410,ELECTRONICA                   ,CONTROLES                     ,EXCLUSIVOS COPPEL.COM         
21506,ELECTRONICA                   ,CAMARA FOTOGRAFICA            ,CAMARAS DE ACCION             
21507,ELECTRONICA                   ,CAMARA FOTOGRAFICA            ,"GO PRO, DJI, SAMSUNG          "
22355,ELECTRONICA                   ,COMPUTADORAS                  ,COMPUTADORAS COPPEL.COM       
22360,ELECTRONICA                   ,COMPUTADORAS                  ,MONITORES                     
22850,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,NEXTEL TA ELECTRONICO         
22860,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,AGRANDA TU RECARGA MOVISTAR   
22908,ELECTRONICA                   ,CHIPS CELULARES               ,CHIP 4G MULTI LIBRE           
22911,ELECTRONICA                   ,CHIPS CELULARES               ,CHIP 4G MULTIFORMATO          
22926,ELECTRONICA                   ,CHIPS CELULARES               ,SIM UNEFON                    
22933,ELECTRONICA                   ,CHIPS CELULARES               ,MICRO SIM MOVISTAR            
22941,ELECTRONICA                   ,CHIPS CELULARES               ,ESIM TELCEL                   
23109,ELECTRONICA                   ,LINEAS PARA VENTA             ,DIGO MAS                      
23955,ELECTRONICA                   ,ACCESORIOS PARA TABLET        ,ACCESORIOS APPLE              
23960,ELECTRONICA                   ,ACCESORIOS PARA TABLET        ,ACCESORIOS TABLETS COPPEL.COM 
24010,ELECTRONICA                   ,MEMORIAS                      ,DISCOS DUROS                  
24011,ELECTRONICA                   ,MEMORIAS                      ,MEMORIAS COPPEL.COM           
24396,ELECTRONICA                   ,ACCESORIOS DE COMPUTACION     ,ROUTERS Y EXPANSORES          
24397,ELECTRONICA                   ,ACCESORIOS DE COMPUTACION     ,ACCESORIOS APPLE              
24398,ELECTRONICA                   ,ACCESORIOS DE COMPUTACION     ,OFFICE                        
24405,ELECTRONICA                   ,AUDIFONOS                     ,IN EAR BT                     
24410,ELECTRONICA                   ,AUDIFONOS                     ,DEPORTIVOS                    
24415,ELECTRONICA                   ,AUDIFONOS                     ,TRUE WIRELESS                 
24417,ELECTRONICA                   ,AUDIFONOS                     ,TRUE WIRELESS CELULAR         
24418,ELECTRONICA                   ,AUDIFONOS                     ,TRUE WIRELESS PREMIUM         
24475,ELECTRONICA                   ,AUDIFONOS                     ,FUNCIONES ESPECIALES          
24480,ELECTRONICA                   ,AUDIFONOS                     ,AUDIFONOS COPPEL.COM          
24503,ELECTRONICA                   ,IMPRESION                     ,IMPRESORAS TINTA CONTINUA     
24507,ELECTRONICA                   ,IMPRESION                     ,IMPRESORAS COPPEL.COM         
24735,ELECTRONICA                   ,TARJETAS DE CONTENIDO         ,CLICK BALANCE                 
25601,ELECTRONICA                   ,GADGETS                       ,SMARTWATCHES                  
25602,ELECTRONICA                   ,GADGETS                       ,GADGETS                       
25603,ELECTRONICA                   ,GADGETS                       ,SPHERO                        
25705,ELECTRONICA                   ,WEARABLES                     ,FITBANDS                      
25710,ELECTRONICA                   ,WEARABLES                     ,SMARTWATCH BASICO             
25715,ELECTRONICA                   ,WEARABLES                     ,SMARTWATCH PREMIUM            
26502,ELECTRONICA                   ,SMART HOME                    ,CAMARAS INTELIGENTES          
27601,ELECTRONICA                   ,WEARABLES                     ,LOCALIZADORES                 
27902,ELECTRONICA                   ,TABLETS                       ,TABLETS 8 PULGADAS            
29617,ELECTRONICA                   ,ACCESORIOS CAMARAS            ,ACCESORIOS CAMARAS COPPEL.COM 
30104,MUEBLE SUELTO                 ,COLCHON                       ,PILLOW TOP INDIVIDUAL         
30208,MUEBLE SUELTO                 ,JUEGO BOX                     ,HULE ESPUMA INDIVIDUAL        
30216,MUEBLE SUELTO                 ,JUEGO BOX                     ,HULE ESPUMA MATRIMONIAL       
30218,MUEBLE SUELTO                 ,JUEGO BOX                     ,ESTANDAR QS                   
30222,MUEBLE SUELTO                 ,JUEGO BOX                     ,PILLOW TOP DOBLE QS           
30224,MUEBLE SUELTO                 ,JUEGO BOX                     ,ESTANDAR KS                   
30226,MUEBLE SUELTO                 ,JUEGO BOX                     ,PILLOW TOP KS                 
30228,MUEBLE SUELTO                 ,JUEGO BOX                     ,PILLOW TOP DOBLE KS           
30810,MUEBLE SUELTO                 ,LITERAS                       ,METAL MULTIFUNCIONAL          
31006,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,METAL MATRIMONIAL             
31010,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,TAPIZADA INDIVIDUAL           
31012,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,TAPIZADA MATRIMONIAL          
31404,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,CUNA METALICA                 
31410,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,CAMA INFANTIL METALICA        
31412,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,MOISES                        
31414,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,CAMBIADOR                     
32210,MUEBLE SUELTO                 ,SILLAS P/COMEDOR SUELTAS      ,SILLA ALTA                    
32802,MUEBLE SUELTO                 ,JUEGO DE JARDIN               ,METAL CLASICO                 
33002,MUEBLE SUELTO                 ,JARDIN                        ,SILLA PLASTICA BAJA           
33004,MUEBLE SUELTO                 ,JARDIN                        ,SILLA METAL BAJA              
33006,MUEBLE SUELTO                 ,JARDIN                        ,TABURETE                      
33009,MUEBLE SUELTO                 ,JARDIN                        ,SILLA PLEGABLE BAJA           
33012,MUEBLE SUELTO                 ,JARDIN                        ,MESA METAL P/SET              
